Comment,Designator,Footprint,LCSC,Quantity
680u,C6,CP_Elec_10x10.5,,1
D_Schottky,D1,D_SOD-323F,,1
5.1k,R5,R_0603_1608Metric,,1
680u,C4,CP_Elec_10x10.5,,1
33u,L2,L_Bourns_SRR1260,,1
LM2596T-3.3,U9,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,,1
LM321,U8,SOT-23-5,,1
LM2596T-5,U3,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,,1
10k,R1,R_0603_1608Metric,,1
40k,R4,R_0603_1608Metric,,1
220u,C7,CP_Elec_10x10.5,,1
4.7u,C12,C_1206_3216Metric,,1
Conn_01x15,J2,TE_1-640454-5,,1
5.1k,R8,R_0603_1608Metric,,1
5.1k,R7,R_0603_1608Metric,,1
10u,L1,L_Bourns_SRR1260,,1
47u,C13,C_1206_3216Metric,,1
22uF,C2,C_1206_3216Metric,,1
74AHC1G86,U2,SOT-23-5,,1
AMS1117-3.3,U6,SOT-223-3_TabPin2,,1
1u,C1,C_0603_1608Metric,,1
1N5824,D2,D_SMA,,1
USB_C_Receptacle_USB2.0_14P,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
10k,R2,R_0603_1608Metric,,1
LTC3588IMSE-1_TRPBF,U1,MSOP-10_MSE,,1
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
LM321,U10,SOT-23-5,,1
1N5824,D3,D_SMA,,1
5.1k,R6,R_0603_1608Metric,,1
FM25W256-G,U7,SOIC8,,1
220u,C5,CP_Elec_10x10.5,,1
22uF,C3,C_1206_3216Metric,,1
100u,C11,CP_Elec_10x10.5,,1
Conn_01x15,J1,TE_1-640454-5,,1
33u,L3,L_Bourns_SRR1260,,1
30k,R3,R_0603_1608Metric,,1
