Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,104.153,-113.411,0.0,top
C11,100u,CP_Elec_10x10.5,91.6275,-116.25,180.0,top
C12,4.7u,C_1206_3216Metric,114.046,-113.411,90.0,top
C13,47u,C_1206_3216Metric,117.545,-117.05,0.0,top
C2,22uF,C_1206_3216Metric,115.5,-132.8625,180.0,top
C3,22uF,C_1206_3216Metric,109.75,-137.6225,90.0,top
C4,680u,CP_Elec_10x10.5,97.6275,-163.25,0.0,top
C5,220u,CP_Elec_10x10.5,110.08,-151.0275,-90.0,top
C6,680u,CP_Elec_10x10.5,130.91,-162.08,0.0,top
C7,220u,CP_Elec_10x10.5,142.62,-150.72,-90.0,top
D1,D_Schottky,D_SOD-323F,100.1,-117.8,-90.0,top
D2,1N5824,D_SMA,89.58,-151.7725,-90.0,top
D3,1N5824,D_SMA,123.03,-151.9125,-90.0,top
J1,Conn_01x15,TE_1-640454-5,159.13,-106.25,180.0,top
J2,Conn_01x15,TE_1-640454-5,159.13,-131.65,180.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,143.43,-164.78,0.0,top
J5,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,110.61,-164.74,0.0,top
L1,10u,L_Bourns_SRR1260,108.365,-123.26,0.0,top
L2,33u,L_Bourns_SRR1260,98.3,-139.57,0.0,top
L3,33u,L_Bourns_SRR1260,130.6,-138.6,0.0,top
R1,10k,R_0603_1608Metric,127.5875,-123.9,90.0,top
R2,10k,R_0603_1608Metric,130.5875,-126.4625,180.0,top
R3,30k,R_0603_1608Metric,130.0475,-118.26,180.0,top
R4,40k,R_0603_1608Metric,127.0,-117.411,-90.0,top
R5,5.1k,R_0603_1608Metric,108.47,-160.195,0.0,top
R6,5.1k,R_0603_1608Metric,113.555,-160.045,180.0,top
R7,5.1k,R_0603_1608Metric,141.23,-158.88,0.0,top
R8,5.1k,R_0603_1608Metric,145.98,-158.95,180.0,top
U1,LTC3588IMSE-1_TRPBF,MSOP-10_MSE,109.635,-114.69,0.0,top
U10,LM321,SOT-23-5,130.6975,-123.91,0.0,top
U2,74AHC1G86,SOT-23-5,117.5625,-113.95,0.0,top
U3,LM2596T-5,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,97.97,-153.43,0.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,115.61,-137.92,0.0,top
U7,FM25W256-G,SOIC8,143.45,-117.73,0.0,top
U8,LM321,SOT-23-5,130.0175,-115.46,0.0,top
U9,LM2596T-3.3,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,131.17,-152.62,0.0,top
