Designator,Footprint,Quantity,Value,LCSC Part #
"BATTERY_SCREW1, REC_SCREW1",AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,2,Screw_Terminal_01x02,
C1,0603,1,1u,C696901
C11,CP_Elec_10x10.5,1,100u,C88801
C12,1206,1,4.7u,C277508
C13,1206,1,47u,C68361
"C2, C3",1206,2,22uF,C513771
"C4, C6",CP_Elec_10x10,2,680u,C164080
"C5, C7",CP_Elec_10x10.5,2,220u,C131159
D1,D_SOD-323F,1,D_Schottky,C369937
"D2, D3",D_SMA,2,1N5824,C22452
"J1, J2",TE_1-640454-5,2,Conn_01x15,C7509525
"J3, J5",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_14P,C3020560
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,10u,C2041441
"L2, L3",L_Bourns_SRR1260,2,33u,C2042435
"R1, R2",0603,2,10k,C25804
R3,0603,1,30k,C22984
R4,0805,1,40k,C5266069
"R5, R6, R7, R8",0603,4,5.1k,C23186
U1,MSOP-10_MSE,1,LTC3588IMSE-1_TRPBF,C685122
"U10, U8",SOT-23-5,2,LM321,C131103
U2,SOT-23-5,1,74AHC1G86,C402161
U3,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM2596T-5,C22386545
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,SOIC8,1,FM25W256-G,C23520
U9,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM2596T-3.3,C1355424
